year2,state,size,Firms,Estabs,Emp,Denom,Estabs_Entry,Estabs_Entry_Rate,Estabs_Exit,Estabs_Exit_Rate,Job_Creation,Job_Creation_Births,Job_Creation_Continuers,Job_Creation_Rate_Births,Job_Creation_Rate,Job_Destruction,Job_Destruction_Deaths,Job_Destruction_Continuers,Job_Destruction_Rate_Deaths,Job_Destruction_Rate,Net_Job_Creation,Net_Job_Creation_Rate,Reallocation_Rate,d_flag,firmdeath_firms,firmdeath_estabs,firmdeath_emp
1977,11,m. ALL,13750,15049,297123,296364,2262,15.2,1857,12.5,59434,27830,31604,9.4,20.1,57910,20665,37245,7,19.5,1524,0.6,39,0,1132,1135,9899
1977,12,a) 1 to 4,94049,102472,247670,232977,30487,30.9,22368,22.6,110648,,,,47.5,81262,58080,23182,24.9,34.9,29386,12.6,69.8,1,16133,16195,41521
1977,12,b) 5 to 9,33128,38701,268548,259832,3664,9.6,2633,6.9,81713,44605,37108,17.2,31.4,64281,32777,31504,12.6,24.7,17432,6.7,49.4,0,1780,1786,22397
1977,12,c) 10 to 19,17197,20905,298096,291178,1525,7.3,1213,5.8,77964,40169,37795,13.8,26.8,64128,31339,32789,10.8,22,13836,4.8,44,0,787,790,20281
1977,12,d) 20 to 49,9400,12852,413195,405102,859,6.7,659,5.2,99037,49738,49299,12.3,24.4,82851,38174,44677,9.4,20.5,16186,3.9,41,0,389,392,22881
1977,12,e) 50 to 99,3008,4368,314856,306113,184,4.2,117,2.7,62475,25306,37169,8.3,20.4,44988,15425,29563,5,14.7,17487,5.7,29.4,0,50,50,6644
1977,12,f) 100 to 249,1434,1987,303606,297990,74,3.7,56,2.8,57775,20853,36922,7,19.4,46543,16188,30355,5.4,15.6,11232,3.8,31.2,0,23,23,6982
1977,12,g) 250 to 499,361,519,185415,176304,16,3.1,0,0,32720,10883,21837,6.2,18.6,14497,0,14497,0,8.2,18223,10.4,16.4,0,,,
1977,12,h) 500 to 999,132,176,129531,118178,5,2.9,0,0,30656,6508,24148,5.5,25.9,7949,0,7949,0,6.7,22707,19.2,13.4,0,,,
1977,12,i) 1000+,91,108,257577,228613,3,2.8,0,0,69807,,,,30.5,11879,0,11879,0,5.2,57928,25.3,10.4,1,,,
1977,12,m. ALL,158800,182088,2418494,2316287,36817,20.7,27046,15.2,622795,319960,302835,13.8,26.9,418378,191983,226395,8.3,18.1,204417,8.8,36.2,0,19162,19236,120706
1977,13,a) 1 to 4,47423,52364,124829,118426,14548,28.7,11016,21.7,53317,40734,12583,34.4,45,40511,28937,11574,24.4,34.2,12806,10.8,68.4,0,7617,7638,19741
1977,13,b) 5 to 9,17369,20391,139265,135139,1772,8.8,1178,5.9,38510,21374,17136,15.8,28.5,30258,14327,15931,10.6,22.4,8252,6.1,44.8,0,729,733,8859
1977,13,c) 10 to 19,9355,11488,162545,159122,701,6.1,562,4.9,38360,18356,20004,11.5,24.1,31513,14656,16857,9.2,19.8,6847,4.3,39.6,0,323,323,8397
1977,13,d) 20 to 49,5400,7287,231787,226603,402,5.6,289,4,52094,24315,27779,10.7,23,41725,17517,24208,7.7,18.4,10369,4.6,36.8,0,162,162,9788
1977,13,e) 50 to 99,1814,2327,167101,165702,85,3.7,85,3.7,30686,11186,19500,6.8,18.5,27887,11561,16326,7,16.8,2799,1.7,33.6,0,41,41,5434
1977,13,f) 100 to 249,989,1330,211751,205794,48,3.6,34,2.6,40071,13051,27020,6.3,19.5,28156,10309,17847,5,13.7,11915,5.8,27.4,0,14,14,4424
1977,13,g) 250 to 499,359,460,161246,155881,11,2.4,0,0,22828,6363,16465,4.1,14.6,12097,0,12097,0,7.8,10731,6.8,15.6,0,,,
1977,13,h) 500 to 999,140,181,126694,120372,3,1.7,0,0,19004,,,,15.8,6360,0,6360,0,5.3,12644,10.5,10.6,1,,,
1977,13,i) 1000+,73,84,167652,165403,2,2.4,0,0,25047,,,,15.1,20551,0,20551,0,12.4,4496,2.7,24.8,1,,,
1977,13,m. ALL,82922,95912,1492870,1452442,17572,18.7,13164,14,319917,146749,173168,10.1,22,239058,97307,141751,6.7,16.5,80859,5.5,33,0,8886,8911,56643
1977,15,a) 1 to 4,8308,9085,22447,20632,2595,30,1657,19.2,9969,7884,2085,38.2,48.3,6338,,1893,,30.7,3631,17.6,61.4,1,1128,1141,
1977,15,b) 5 to 9,3468,3896,27172,26137,421,11.1,247,6.5,8152,5099,3053,19.5,31.2,6081,3034,3047,11.6,23.3,2071,7.9,46.6,0,159,159,1963
1977,15,c) 10 to 19,2162,2481,35267,34604,173,7,140,5.7,8565,4514,4051,13,24.8,7239,3641,3598,10.5,20.9,1326,3.9,41.8,0,91,91,2314
1977,15,d) 20 to 49,1295,1588,50838,50395,89,5.6,87,5.5,10882,5051,5831,10,21.6,9996,5021,4975,10,19.8,886,1.8,39.6,0,40,40,2244
1977,15,e) 50 to 99,405,533,38275,36856,21,4,14,2.6,7621,2858,4763,7.8,20.7,4783,1765,3018,4.8,13,2838,7.7,26,0,6,6,654
1977,15,f) 100 to 249,184,246,36342,35461,7,2.9,3,1.2,5553,2186,3367,6.2,15.7,3791,906,2885,2.6,10.7,1762,5,21.4,1,1,1,
1977,15,g) 250 to 499,40,50,18792,17861,0,0,2,3.9,3260,0,3260,0,18.3,1397,,398,,7.8,1863,10.5,15.6,1,,,
1977,15,h) 500 to 999,20,22,14661,14528,0,0,0,0,604,0,604,0,4.2,338,0,338,0,2.3,266,1.9,4.6,0,,,
1977,15,i) 1000+,13,13,17313,16909,0,0,0,0,979,0,979,0,5.8,171,0,171,0,1,808,4.8,2,0,,,
1977,15,m. ALL,15895,17914,261107,253383,3306,19,2150,12.4,55585,27592,27993,10.9,21.9,40134,19811,20323,7.8,15.8,15451,6.1,31.6,0,1425,1438,10556
1977,16,a) 1 to 4,9874,10589,24873,23270,3116,30.8,2099,20.8,10960,8239,2721,35.4,47.1,7754,5266,2488,22.6,33.3,3206,13.8,66.6,0,1477,1485,3863
1977,16,b) 5 to 9,3598,4016,28230,26816,364,9.2,234,5.9,8527,4516,4011,16.8,31.8,5698,2865,2833,10.7,21.2,2829,10.6,42.4,0,157,157,1920
1977,16,c) 10 to 19,2007,2321,32644,31676,158,6.9,105,4.6,8301,4028,4273,12.7,26.2,6365,2763,3602,8.7,20.1,1936,6.1,40.2,0,72,72,1881
1977,16,d) 20 to 49,1048,1300,40136,39239,74,5.7,50,3.9,9027,4052,4975,10.3,23,7232,2784,4448,7.1,18.4,1795,4.6,36.8,0,32,32,1690
1977,16,e) 50 to 99,274,338,24528,24141,9,2.7,12,3.5,4680,1243,3437,5.1,19.4,3906,1700,2206,7,16.2,774,3.2,32.4,0,3,3,434
1977,16,f) 100 to 249,117,150,23755,21762,8,5.5,0,0,5476,2281,3195,10.5,25.2,1490,0,1490,0,6.8,3986,18.4,13.6,0,,,
1977,16,g) 250 to 499,29,39,12987,13035,0,0,0,0,1383,0,1383,0,10.6,1479,0,1479,0,11.3,-96,-0.7,21.2,0,,,
1977,16,h) 500 to 999,22,25,18559,16780,0,0,0,0,4571,0,4571,0,27.2,1013,0,1013,0,6,3558,21.2,12,0,,,
1977,16,i) 1000+,8,11,53409,34700,0,0,0,0,39191,0,39191,0,112.9,1772,0,1772,0,5.1,37419,107.8,10.2,0,,,
1977,16,m. ALL,16977,18789,259121,231419,3729,20.5,2500,13.7,92116,24359,67757,10.5,39.8,36709,15378,21331,6.6,15.9,55407,23.9,31.8,0,1741,1749,9788
1977,17,a) 1 to 4,100936,107494,244153,235924,24439,23.1,20758,19.6,92420,,,,39.2,75961,52831,23130,22.4,32.2,16459,7,64.4,1,14112,14202,35603
1977,17,b) 5 to 9,37261,41985,290153,282623,3528,8.5,2589,6.2,79172,43246,35926,15.3,28,64112,32163,31949,11.4,22.7,15060,5.3,45.4,0,1612,1616,20042
1977,17,c) 10 to 19,23044,26209,370266,363625,1510,5.8,1262,4.8,83306,39265,44041,10.8,22.9,70023,33379,36644,9.2,19.3,13283,3.6,38.6,0,646,647,16796
1977,17,d) 20 to 49,14223,17515,563104,548690,975,5.6,666,3.8,119081,56780,62301,10.3,21.7,90253,38737,51516,7.1,16.4,28828,5.3,32.8,0,307,308,17441
1977,17,e) 50 to 99,4951,6303,452244,444514,202,3.2,187,3,77087,27116,49971,6.1,17.3,61627,25590,36037,5.8,13.9,15460,3.4,27.8,0,74,75,9960
1977,17,f) 100 to 249,2658,3599,560143,550429,92,2.6,65,1.8,85012,26922,58090,4.9,15.4,65584,19356,46228,3.5,11.9,19428,3.5,23.8,0,23,23,7299
1977,17,g) 250 to 499,775,1029,368640,358087,23,2.3,0,0,53555,14824,38731,4.1,15,32448,0,32448,0,9.1,21107,5.9,18.2,0,,,
1977,17,h) 500 to 999,385,502,357061,344125,8,1.6,0,0,51021,11252,39769,3.3,14.8,25149,0,25149,0,7.3,25872,7.5,14.6,0,,,
1977,17,i) 1000+,220,298,712700,683055,2,0.7,0,0,105117,,,,15.4,45826,0,45826,0,6.7,59291,8.7,13.4,1,,,
1977,17,m. ALL,184453,204934,3918464,3811072,30779,15.2,25527,12.6,745771,293002,452769,7.7,19.6,530983,202056,328927,5.3,13.9,214788,5.7,27.8,0,16774,16871,107141
